"year","site","collector","condition","comment"
2010,"Arisaig",2055,"OK",""
2010,"Arisaig",2040,"OK",""
2010,"Arisaig",2063,"OK","2% of gravel"
2010,"Arisaig",2052,"OK","3% of gravel"
2010,"Arisaig",2057,"OK",""
2010,"Arisaig",2045,"OK",""
2010,"Arisaig",2042,"OK","6% of gravel"
2010,"Arisaig",2044,"OK",""
2010,"Arisaig",2050,"OK",""
2011,"Arisaig",2034,"OK",""
2011,"Skinner's Pond",1871,"OK",""
2011,"Nine Mile Creek",589,"OK",""
2011,"Skinner's Pond",1872,"OK",""
2011,"Murray Harbour",59,"OK",""
2011,"Skinner's Pond",1873,"OK",""
2011,"Alberton",559,"OK",""
2011,"Fortune",553,"OK",""
2011,"Skinner's Pond",1874,"OK",""
2011,"Skinner's Pond",1875,"OK",""
2011,"Skinner's Pond",1877,"OK",""
2011,"Arisaig",2035,"OK",""
2011,"Covehead",554,"OK",""
2011,"Arisaig",2038,"OK",""
2011,"Skinner's Pond",1878,"OK",""
2011,"Skinner's Pond",1879,"OK",""
2011,"Skinner's Pond",1880,"OK",""
2011,"Arisaig",2039,"OK",""
2011,"Covehead",555,"OK",""
2011,"Skinner's Pond",1881,"OK",""
2011,"Covehead",556,"OK",""
2011,"Arisaig",2040,"OK",""
2011,"Skinner's Pond",1882,"OK",""
2011,"Arisaig",2041,"OK",""
2011,"Covehead",557,"OK",""
2011,"Skinner's Pond",1883,"OK",""
2011,"Skinner's Pond",1884,"OK",""
2011,"Covehead",558,"OK",""
2011,"Skinner's Pond",1885,"OK",""
2011,"Skinner's Pond",1886,"OK",""
2011,"Covehead",1718,"OK",""
2011,"Covehead",1720,"OK",""
2011,"Skinner's Pond",1887,"OK",""
2011,"Arisaig",2042,"OK",""
2011,"Skinner's Pond",1888,"OK",""
2011,"Skinner's Pond",1889,"OK",""
2011,"Skinner's Pond",1891,"OK",""
2011,"Arisaig",2043,"OK",""
2011,"Arisaig",2044,"OK",""
2011,"Skinner's Pond",1892,"OK",""
